original
epoch	nll_loss	f1	em	lr	time
24	3.06404720216	0.637829586543	0.490500193874	0.002	6580.6085701
25	3.04849357945	0.64526019958	0.498836758434	0.002	13191.9375341
26	3.08214276518	0.636295120336	0.486622721985	0.002	19827.573946
27	3.06815357364	0.644277705022	0.495734780923	0.002	26433.811271
28	3.02918498116	0.6429447269	0.497285769678	0.002	33258.2234671
29	3.00359764262	0.651077603975	0.499806126406	0.0016	40138.6399901
30	3.03401175207	0.649773461635	0.502326483133	0.0016	47006.8219311
31	3.01535501587	0.645192975359	0.498061264056	0.0016	53589.892736
32	3.02791893357	0.644853785932	0.501357115161	0.0016	60173.8039219
33	3.01140294809	0.647901436766	0.499418379217	0.00128	66762.4800911
34	3.03182953816	0.652801325219	0.507173322993	0.001024	73303.793344
35	3.0285416389	0.650852642474	0.500775494378	0.001024	79870.7670171
