any_3
epoch	nll_loss	f1	em	lr	time
24	3.20449423226	0.623822927984	0.477704536642	0.002	4461.090657
25	3.13298952325	0.630206092302	0.48507173323	0.002	8947.7881701
26	3.1502228789	0.631392121606	0.485459480419	0.002	13447.1145401
27	3.16970603916	0.634170032415	0.488755331524	0.002	17945.7739961
28	3.1410466372	0.633294827716	0.482163629314	0.002	22446.851835
29	3.14530788036	0.6280986667	0.478092283831	0.002	26945.950942
30	3.1146156456	0.64068477592	0.491275688251	0.002	31444.788564
31	3.11658391697	0.631885865426	0.48681659558	0.002	35948.0519321
32	3.10901868154	0.638277000191	0.491469561846	0.002	40453.155597
33	3.09824336134	0.640276499233	0.493214424195	0.002	44953.5180352
34	3.07108988767	0.644551987477	0.497673516867	0.0016	49459.196152
35	3.10067113586	0.642978481713	0.491469561846	0.0016	53968.9265151
